action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,opponent,remaining_time,2PT Field Goal,3PT Field Goal,Bank Shot,Dunk,Hook Shot,Jump Shot,Layup,Tip Shot,home_court,injury
Jump Shot,Jump Shot,-71,42,3,0,2000,8,0.0,HOU,1,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,30,133,4,0,2000,13,1.0,HOU,301,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,1,156,4,0,2000,15,0.0,HOU,46,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,132,211,1,0,2000,24,0.0,SAS,701,False,True,False,False,False,True,False,False,0,0
Slam Dunk Shot,Dunk,-8,4,1,0,2000,0,0.0,SAS,659,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,132,127,1,0,2000,18,1.0,SAS,396,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-29,188,1,0,2000,19,1.0,SAS,354,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,140,76,1,0,2000,15,1.0,SAS,144,True,False,False,False,False,True,False,False,0,0
Turnaround Jump Shot,Jump Shot,140,0,1,0,2000,14,1.0,SAS,108,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-1,156,1,0,2000,15,1.0,SAS,85,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-151,4,1,0,2000,15,1.0,SAS,47,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,110,76,2,0,2000,13,0.0,SAS,657,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,132,87,2,0,2000,15,0.0,SAS,577,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-58,251,2,0,2000,25,1.0,SAS,230,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-94,160,2,0,2000,18,1.0,SAS,195,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-193,150,2,0,2000,24,0.0,SAS,53,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,140,0,2,0,2000,14,1.0,SAS,48,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,39,9,3,0,2000,4,0.0,SAS,686,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,24,150,3,0,2000,15,0.0,SAS,560,True,False,False,False,False,True,False,False,0,0
Slam Dunk Shot,Dunk,-1,0,3,0,2000,0,1.0,SAS,473,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,119,133,3,0,2000,17,1.0,SAS,400,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,119,19,3,0,2000,12,0.0,SAS,180,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-193,42,3,0,2000,19,0.0,SAS,48,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-166,55,3,0,2000,17,0.0,SAS,21,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,24,116,4,0,2000,11,0.0,SAS,639,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-65,156,4,0,2000,16,0.0,SAS,428,True,False,False,False,False,True,False,False,0,0
Turnaround Jump Shot,Jump Shot,-166,26,4,0,2000,16,1.0,SAS,385,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-58,76,4,0,2000,9,0.0,SAS,314,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-37,70,4,0,2000,7,0.0,SAS,218,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-94,188,1,0,2000,21,0.0,HOU,669,True,False,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,HOU,617,True,False,False,False,False,False,True,False,1,0
Reverse Layup Shot,Layup,0,0,1,0,2000,0,0.0,HOU,563,True,False,False,False,False,False,True,False,1,0
Tip Shot,Tip Shot,0,0,1,0,2000,0,0.0,HOU,561,True,False,False,False,False,False,False,True,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,HOU,182,True,False,False,True,False,False,False,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,HOU,44,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,85,141,1,0,2000,16,0.0,HOU,21,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-88,158,2,0,2000,18,1.0,HOU,530,True,False,False,False,False,True,False,False,1,0
Driving Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,HOU,498,True,False,False,True,False,False,False,False,1,0
Running Hook Shot,Hook Shot,0,0,2,0,2000,0,1.0,HOU,30,True,False,False,False,True,False,False,False,1,0
Jump Shot,Jump Shot,1,276,2,0,2000,27,1.0,HOU,4,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,155,-8,3,0,2000,15,1.0,HOU,518,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-155,13,3,0,2000,15,1.0,HOU,318,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-84,133,3,0,2000,15,0.0,HOU,274,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-178,-8,3,0,2000,17,0.0,HOU,231,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,16,89,3,0,2000,9,0.0,HOU,220,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-48,106,3,0,2000,11,1.0,HOU,213,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-170,13,3,0,2000,17,0.0,HOU,125,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-119,133,3,0,2000,17,0.0,HOU,14,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,9,40,4,0,2000,4,0.0,HOU,652,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-84,82,4,0,2000,11,0.0,HOU,394,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,9,59,4,0,2000,5,0.0,HOU,297,True,False,False,False,False,True,False,False,1,0
Driving Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,HOU,208,True,False,False,True,False,False,False,False,1,0
Running Jump Shot,Jump Shot,9,59,4,0,2000,5,1.0,HOU,98,True,False,False,False,False,True,False,False,1,0
Tip Shot,Tip Shot,0,0,4,0,2000,0,0.0,HOU,63,True,False,False,False,False,False,False,True,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,DEN,463,True,False,False,False,False,False,True,False,1,0
Alley Oop Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,DEN,188,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,129,-4,1,0,2000,12,1.0,DEN,145,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-98,97,1,0,2000,13,1.0,DEN,48,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,167,78,2,0,2000,18,0.0,DEN,676,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,108,249,2,0,2000,27,0.0,DEN,619,False,True,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,100,175,2,0,2000,20,1.0,DEN,547,True,False,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,2,0,2000,0,0.0,DEN,114,True,False,False,False,False,False,True,False,1,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,0.0,DEN,28,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,115,169,3,0,2000,20,0.0,DEN,623,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,1,72,3,0,2000,7,0.0,DEN,323,True,False,False,False,False,True,False,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,DEN,37,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,113,230,4,0,2000,25,1.0,DEN,703,False,True,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,4,0,2000,0,1.0,DEN,628,True,False,False,False,False,False,True,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,DEN,611,True,False,False,True,False,False,False,False,1,0
Layup Shot,Layup,0,0,4,0,2000,0,0.0,DEN,337,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,98,194,1,0,2000,21,1.0,SAC,702,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-117,184,1,0,2000,21,0.0,SAC,667,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-168,-2,1,0,2000,16,0.0,SAC,533,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,70,36,1,0,2000,7,0.0,SAC,496,True,False,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,SAC,463,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-37,42,1,0,2000,5,1.0,SAC,167,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,163,116,1,0,2000,20,0.0,SAC,65,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,113,179,2,0,2000,21,1.0,SAC,493,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,169,-2,2,0,2000,16,1.0,SAC,387,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,91,156,2,0,2000,18,0.0,SAC,52,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,134,93,2,0,2000,16,0.0,SAC,19,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,47,477,2,0,2000,47,0.0,SAC,0,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,11,137,3,0,2000,13,0.0,SAC,532,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,199,13,3,0,2000,19,0.0,SAC,175,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,77,236,3,0,2000,24,0.0,SAC,1,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,11,247,4,0,2000,24,0.0,SAC,558,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-103,230,4,0,2000,25,0.0,SAC,343,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-31,247,4,0,2000,24,1.0,SAC,2,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-10,99,5,0,2000,9,1.0,SAC,125,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,13,100,5,0,2000,10,0.0,SAC,127,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-73,200,5,0,2000,21,1.0,SAC,24,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-77,184,1,0,2000,19,1.0,DEN,605,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,188,177,1,0,2000,25,0.0,DEN,547,False,True,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,DEN,495,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,-128,137,1,0,2000,18,0.0,DEN,262,True,False,False,False,False,True,False,False,0,0
Alley Oop Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,DEN,249,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,1,93,2,0,2000,9,0.0,DEN,679,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,115,160,2,0,2000,19,1.0,DEN,411,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,159,200,2,0,2000,25,1.0,DEN,371,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,167,0,2,0,2000,16,0.0,DEN,21,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-162,245,3,0,2000,29,0.0,DEN,677,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,167,-6,3,0,2000,16,0.0,DEN,515,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-4,150,3,0,2000,15,1.0,DEN,384,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-185,9,3,0,2000,18,1.0,DEN,301,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,237,19,3,0,2000,23,1.0,DEN,201,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-229,19,3,0,2000,22,1.0,DEN,47,False,True,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,4,0,2000,0,0.0,DEN,670,True,False,False,False,False,False,True,False,0,0
Reverse Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,DEN,430,True,False,False,True,False,False,False,False,0,0
Jump Shot,Jump Shot,37,82,4,0,2000,8,1.0,DEN,78,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-42,87,4,0,2000,9,0.0,DEN,46,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,28,247,1,0,2000,24,0.0,CHI,543,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,7,97,1,0,2000,9,0.0,CHI,370,True,False,False,False,False,True,False,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,CHI,190,True,False,False,True,False,False,False,False,1,0
Layup Shot,Layup,0,0,1,0,2000,0,0.0,CHI,13,True,False,False,False,False,False,True,False,1,0
Slam Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,CHI,444,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,115,135,2,0,2000,17,0.0,CHI,363,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,142,184,2,0,2000,23,0.0,CHI,44,True,False,False,False,False,True,False,False,1,0
Slam Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,CHI,684,True,False,False,True,False,False,False,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,CHI,619,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,79,163,3,0,2000,18,0.0,CHI,585,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,142,141,3,0,2000,20,1.0,CHI,442,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,30,125,3,0,2000,12,0.0,CHI,403,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-60,97,3,0,2000,11,1.0,CHI,295,True,False,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,0.0,CHI,94,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,115,245,4,0,2000,27,0.0,CHI,673,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-132,184,4,0,2000,22,0.0,CHI,652,True,False,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,4,0,2000,0,0.0,CHI,612,True,False,False,False,False,False,True,False,1,0
Layup Shot,Layup,0,0,4,0,2000,0,0.0,CHI,608,True,False,False,False,False,False,True,False,1,0
Running Jump Shot,Jump Shot,-25,76,4,0,2000,8,1.0,CHI,140,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-145,108,4,0,2000,18,0.0,CHI,97,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-208,-29,4,0,2000,21,0.0,CHI,31,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-105,148,1,0,2000,18,1.0,GSW,605,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-48,175,1,0,2000,18,0.0,GSW,480,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-77,247,1,0,2000,25,0.0,GSW,298,False,True,False,False,False,True,False,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,GSW,156,True,False,False,False,False,False,True,False,1,0
Layup Shot,Layup,0,0,1,0,2000,0,0.0,GSW,140,True,False,False,False,False,False,True,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,GSW,128,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,142,226,1,0,2000,26,1.0,GSW,103,False,True,False,False,False,True,False,False,1,0
Alley Oop Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,GSW,617,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,-63,171,2,0,2000,18,1.0,GSW,556,True,False,False,False,False,True,False,False,1,0
Alley Oop Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,GSW,214,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,64,175,2,0,2000,18,1.0,GSW,150,True,False,False,False,False,True,False,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,GSW,592,True,False,False,True,False,False,False,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,1.0,GSW,552,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,115,236,3,0,2000,26,1.0,GSW,391,False,True,False,False,False,True,False,False,1,0
Dunk Shot,Dunk,0,0,3,0,2000,0,0.0,GSW,369,True,False,False,True,False,False,False,False,1,0
Turnaround Jump Shot,Jump Shot,163,7,3,0,2000,16,0.0,GSW,320,True,False,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,0.0,GSW,126,True,False,False,False,False,False,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,1.0,GSW,120,True,False,False,False,False,False,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,GSW,86,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,64,40,1,0,2000,7,0.0,MIN,633,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-105,-2,1,0,2000,10,1.0,MIN,453,True,False,False,False,False,True,False,False,1,0
Reverse Layup Shot,Layup,0,0,1,0,2000,0,1.0,MIN,352,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,64,95,1,0,2000,11,1.0,MIN,236,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-132,2,1,0,2000,13,1.0,MIN,64,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,73,17,3,0,2000,7,0.0,MIN,653,True,False,False,False,False,True,False,False,1,0
Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,MIN,585,True,False,False,True,False,False,False,False,1,0
Jump Shot,Jump Shot,-132,154,3,0,2000,20,0.0,MIN,384,True,False,False,False,False,True,False,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,MIN,358,True,False,False,False,False,False,True,False,1,0
Jump Shot,Jump Shot,235,23,3,0,2000,23,0.0,MIN,162,False,True,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,28,175,3,0,2000,17,1.0,MIN,21,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,184,171,4,0,2000,25,1.0,MIN,698,False,True,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,127,61,4,0,2000,14,0.0,MIN,590,True,False,False,False,False,True,False,False,1,0
Turnaround Jump Shot,Jump Shot,28,89,4,0,2000,9,1.0,MIN,576,True,False,False,False,False,True,False,False,1,0
Jump Shot,Jump Shot,-84,213,4,0,2000,22,1.0,MIN,450,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,-119,144,4,0,2000,18,1.0,MIN,324,True,False,False,False,False,True,False,False,1,0
Running Jump Shot,Jump Shot,0,110,1,0,2000,11,0.0,LAC,625,True,False,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,LAC,434,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,127,80,1,0,2000,15,0.0,LAC,377,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-143,219,1,0,2000,26,1.0,LAC,344,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,77,141,2,0,2000,16,1.0,LAC,438,True,False,False,False,False,True,False,False,0,0
Running Jump Shot,Jump Shot,-6,70,2,0,2000,7,1.0,LAC,395,True,False,False,False,False,True,False,False,0,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,1.0,LAC,128,True,False,False,False,False,False,True,False,0,0
Layup Shot,Layup,0,0,2,0,2000,0,1.0,LAC,99,True,False,False,False,False,False,True,False,0,0
Jump Shot,Jump Shot,144,215,2,0,2000,25,1.0,LAC,36,False,True,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,-63,177,3,0,2000,18,0.0,LAC,684,True,False,False,False,False,True,False,False,0,0
Jump Shot,Jump Shot,100,259,3,0,2000,27,0.0,LAC,440,False,True,False,False,False,True,False,False,0,0
