action_type,combined_shot_type,loc_x,loc_y,period,playoffs,season,shot_distance,shot_made_flag,shot_zone_area,shot_zone_basic,opponent,remaining_time,2PT Field Goal,3PT Field Goal,home_court,injury
Jump Shot,Jump Shot,-132,97,3,0,2000,16,0.0,Left Side Center(LC),Mid-Range,UTA,689,True,False,1,0
Jump Shot,Jump Shot,3,144,3,0,2000,14,0.0,Center(C),Mid-Range,UTA,608,True,False,1,0
Jump Shot,Jump Shot,134,127,3,0,2000,18,0.0,Right Side Center(RC),Mid-Range,UTA,544,True,False,1,0
Running Jump Shot,Jump Shot,-16,110,3,0,2000,11,1.0,Center(C),In The Paint (Non-RA),UTA,477,True,False,1,0
Running Jump Shot,Jump Shot,-109,150,3,0,2000,18,1.0,Left Side Center(LC),Mid-Range,UTA,347,True,False,1,0
Running Jump Shot,Jump Shot,-46,63,3,0,2000,7,1.0,Center(C),In The Paint (Non-RA),UTA,311,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,0.0,Center(C),Restricted Area,UTA,156,True,False,1,0
Jump Shot,Jump Shot,-58,196,3,0,2000,20,0.0,Center(C),Mid-Range,UTA,124,True,False,1,0
Jump Shot,Jump Shot,-183,186,3,0,2000,26,0.0,Left Side Center(LC),Above the Break 3,UTA,30,False,True,1,0
Jump Shot,Jump Shot,85,173,4,0,2000,19,0.0,Right Side Center(RC),Mid-Range,UTA,499,True,False,1,0
Jump Shot,Jump Shot,3,87,4,0,2000,8,0.0,Center(C),In The Paint (Non-RA),UTA,382,True,False,1,0
Running Jump Shot,Jump Shot,121,4,4,0,2000,12,1.0,Right Side(R),Mid-Range,UTA,80,True,False,1,0
Jump Shot,Jump Shot,127,34,4,0,2000,13,0.0,Right Side(R),Mid-Range,UTA,30,True,False,1,0
Jump Shot,Jump Shot,91,184,2,0,2000,20,1.0,Right Side Center(RC),Mid-Range,VAN,210,True,False,0,0
Jump Shot,Jump Shot,-27,272,2,0,2000,27,1.0,Center(C),Above the Break 3,VAN,4,False,True,0,0
Jump Shot,Jump Shot,-176,66,3,0,2000,18,0.0,Left Side(L),Mid-Range,VAN,672,True,False,0,0
Layup Shot,Layup,7,4,3,0,2000,0,1.0,Center(C),Restricted Area,VAN,613,True,False,0,0
Jump Shot,Jump Shot,150,133,3,0,2000,20,1.0,Right Side Center(RC),Mid-Range,VAN,539,True,False,0,0
Jump Shot,Jump Shot,49,15,3,0,2000,5,0.0,Center(C),In The Paint (Non-RA),VAN,509,True,False,0,0
Layup Shot,Layup,-4,4,3,0,2000,0,1.0,Center(C),Restricted Area,VAN,201,True,False,0,0
Reverse Dunk Shot,Dunk,-4,4,3,0,2000,0,0.0,Center(C),Restricted Area,VAN,175,True,False,0,0
Slam Dunk Shot,Dunk,1,9,3,0,2000,0,1.0,Center(C),Restricted Area,VAN,158,True,False,0,0
Jump Shot,Jump Shot,121,120,4,0,2000,17,1.0,Right Side Center(RC),Mid-Range,VAN,295,True,False,0,0
Layup Shot,Layup,1,9,4,0,2000,0,0.0,Center(C),Restricted Area,VAN,68,True,False,0,0
Layup Shot,Layup,-12,9,4,0,2000,1,0.0,Center(C),Restricted Area,VAN,66,True,False,0,0
Jump Shot,Jump Shot,24,70,1,0,2000,7,0.0,Center(C),In The Paint (Non-RA),LAC,633,True,False,1,0
Jump Shot,Jump Shot,-189,-4,1,0,2000,18,0.0,Left Side(L),Mid-Range,LAC,604,True,False,1,0
Jump Shot,Jump Shot,-155,194,1,0,2000,24,0.0,Left Side Center(LC),Above the Break 3,LAC,153,False,True,1,0
Jump Shot,Jump Shot,1,228,2,0,2000,22,1.0,Center(C),Mid-Range,LAC,686,False,True,1,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,LAC,520,True,False,1,0
Slam Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,LAC,245,True,False,1,0
Jump Shot,Jump Shot,-33,108,2,0,2000,11,0.0,Center(C),In The Paint (Non-RA),LAC,122,True,False,1,0
Layup Shot,Layup,22,49,2,0,2000,5,1.0,Center(C),In The Paint (Non-RA),LAC,47,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,0.0,Center(C),Restricted Area,LAC,572,True,False,1,0
Driving Layup Shot,Layup,56,21,3,0,2000,5,0.0,Center(C),In The Paint (Non-RA),LAC,37,True,False,1,0
Running Jump Shot,Jump Shot,121,26,3,0,2000,12,1.0,Right Side(R),Mid-Range,LAC,1,True,False,1,0
Jump Shot,Jump Shot,231,57,1,0,2000,23,0.0,Right Side(R),Right Corner 3,HOU,497,False,True,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,HOU,473,True,False,0,0
Driving Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,HOU,421,True,False,0,0
Jump Shot,Jump Shot,7,257,1,0,2000,25,1.0,Center(C),Above the Break 3,HOU,191,False,True,0,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,HOU,476,True,False,0,0
Jump Shot,Jump Shot,51,57,2,0,2000,7,0.0,Center(C),In The Paint (Non-RA),HOU,160,True,False,0,0
Jump Shot,Jump Shot,167,190,2,0,2000,25,0.0,Right Side Center(RC),Above the Break 3,HOU,10,False,True,0,0
Jump Shot,Jump Shot,-119,190,3,0,2000,22,1.0,Left Side Center(LC),Mid-Range,HOU,662,True,False,0,0
Jump Shot,Jump Shot,16,57,3,0,2000,5,0.0,Center(C),In The Paint (Non-RA),HOU,550,True,False,0,0
Jump Shot,Jump Shot,-84,110,3,0,2000,13,0.0,Left Side(L),Mid-Range,HOU,444,True,False,0,0
Jump Shot,Jump Shot,-71,42,3,0,2000,8,0.0,Left Side(L),In The Paint (Non-RA),HOU,1,True,False,0,0
Jump Shot,Jump Shot,30,133,4,0,2000,13,1.0,Center(C),In The Paint (Non-RA),HOU,301,True,False,0,0
Jump Shot,Jump Shot,1,156,4,0,2000,15,0.0,Center(C),Mid-Range,HOU,46,True,False,0,0
Jump Shot,Jump Shot,132,211,1,0,2000,24,0.0,Right Side Center(RC),Above the Break 3,SAS,701,False,True,0,0
Slam Dunk Shot,Dunk,-8,4,1,0,2000,0,0.0,Center(C),Restricted Area,SAS,659,True,False,0,0
Jump Shot,Jump Shot,132,127,1,0,2000,18,1.0,Right Side Center(RC),Mid-Range,SAS,396,True,False,0,0
Jump Shot,Jump Shot,-29,188,1,0,2000,19,1.0,Center(C),Mid-Range,SAS,354,True,False,0,0
Jump Shot,Jump Shot,140,76,1,0,2000,15,1.0,Right Side(R),Mid-Range,SAS,144,True,False,0,0
Turnaround Jump Shot,Jump Shot,140,0,1,0,2000,14,1.0,Right Side(R),Mid-Range,SAS,108,True,False,0,0
Jump Shot,Jump Shot,-1,156,1,0,2000,15,1.0,Center(C),Mid-Range,SAS,85,True,False,0,0
Jump Shot,Jump Shot,-151,4,1,0,2000,15,1.0,Left Side(L),Mid-Range,SAS,47,True,False,0,0
Jump Shot,Jump Shot,110,76,2,0,2000,13,0.0,Right Side(R),Mid-Range,SAS,657,True,False,0,0
Jump Shot,Jump Shot,132,87,2,0,2000,15,0.0,Right Side(R),Mid-Range,SAS,577,True,False,0,0
Jump Shot,Jump Shot,-58,251,2,0,2000,25,1.0,Center(C),Above the Break 3,SAS,230,False,True,0,0
Jump Shot,Jump Shot,-94,160,2,0,2000,18,1.0,Left Side Center(LC),Mid-Range,SAS,195,True,False,0,0
Jump Shot,Jump Shot,-193,150,2,0,2000,24,0.0,Left Side Center(LC),Above the Break 3,SAS,53,False,True,0,0
Jump Shot,Jump Shot,140,0,2,0,2000,14,1.0,Right Side(R),Mid-Range,SAS,48,True,False,0,0
Jump Shot,Jump Shot,39,9,3,0,2000,4,0.0,Center(C),In The Paint (Non-RA),SAS,686,True,False,0,0
Jump Shot,Jump Shot,24,150,3,0,2000,15,0.0,Center(C),Mid-Range,SAS,560,True,False,0,0
Slam Dunk Shot,Dunk,-1,0,3,0,2000,0,1.0,Center(C),Restricted Area,SAS,473,True,False,0,0
Jump Shot,Jump Shot,119,133,3,0,2000,17,1.0,Right Side Center(RC),Mid-Range,SAS,400,True,False,0,0
Jump Shot,Jump Shot,119,19,3,0,2000,12,0.0,Right Side(R),Mid-Range,SAS,180,True,False,0,0
Jump Shot,Jump Shot,-193,42,3,0,2000,19,0.0,Left Side(L),Mid-Range,SAS,48,True,False,0,0
Jump Shot,Jump Shot,-166,55,3,0,2000,17,0.0,Left Side(L),Mid-Range,SAS,21,True,False,0,0
Jump Shot,Jump Shot,24,116,4,0,2000,11,0.0,Center(C),In The Paint (Non-RA),SAS,639,True,False,0,0
Jump Shot,Jump Shot,-65,156,4,0,2000,16,0.0,Left Side Center(LC),Mid-Range,SAS,428,True,False,0,0
Turnaround Jump Shot,Jump Shot,-166,26,4,0,2000,16,1.0,Left Side(L),Mid-Range,SAS,385,True,False,0,0
Jump Shot,Jump Shot,-58,76,4,0,2000,9,0.0,Left Side(L),In The Paint (Non-RA),SAS,314,True,False,0,0
Jump Shot,Jump Shot,-37,70,4,0,2000,7,0.0,Center(C),In The Paint (Non-RA),SAS,218,True,False,0,0
Jump Shot,Jump Shot,-94,188,1,0,2000,21,0.0,Left Side Center(LC),Mid-Range,HOU,669,True,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,HOU,617,True,False,1,0
Reverse Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,HOU,563,True,False,1,0
Tip Shot,Tip Shot,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,HOU,561,True,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,HOU,182,True,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,HOU,44,True,False,1,0
Jump Shot,Jump Shot,85,141,1,0,2000,16,0.0,Right Side Center(RC),Mid-Range,HOU,21,True,False,1,0
Jump Shot,Jump Shot,-88,158,2,0,2000,18,1.0,Left Side Center(LC),Mid-Range,HOU,530,True,False,1,0
Driving Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,HOU,498,True,False,1,0
Running Hook Shot,Hook Shot,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,HOU,30,True,False,1,0
Jump Shot,Jump Shot,1,276,2,0,2000,27,1.0,Center(C),Above the Break 3,HOU,4,False,True,1,0
Jump Shot,Jump Shot,155,-8,3,0,2000,15,1.0,Right Side(R),Mid-Range,HOU,518,True,False,1,0
Jump Shot,Jump Shot,-155,13,3,0,2000,15,1.0,Left Side(L),Mid-Range,HOU,318,True,False,1,0
Jump Shot,Jump Shot,-84,133,3,0,2000,15,0.0,Left Side(L),Mid-Range,HOU,274,True,False,1,0
Jump Shot,Jump Shot,-178,-8,3,0,2000,17,0.0,Left Side(L),Mid-Range,HOU,231,True,False,1,0
Jump Shot,Jump Shot,16,89,3,0,2000,9,0.0,Center(C),In The Paint (Non-RA),HOU,220,True,False,1,0
Jump Shot,Jump Shot,-48,106,3,0,2000,11,1.0,Center(C),In The Paint (Non-RA),HOU,213,True,False,1,0
Jump Shot,Jump Shot,-170,13,3,0,2000,17,0.0,Left Side(L),Mid-Range,HOU,125,True,False,1,0
Jump Shot,Jump Shot,-119,133,3,0,2000,17,0.0,Left Side Center(LC),Mid-Range,HOU,14,True,False,1,0
Jump Shot,Jump Shot,9,40,4,0,2000,4,0.0,Center(C),In The Paint (Non-RA),HOU,652,True,False,1,0
Jump Shot,Jump Shot,-84,82,4,0,2000,11,0.0,Left Side(L),Mid-Range,HOU,394,True,False,1,0
Jump Shot,Jump Shot,9,59,4,0,2000,5,0.0,Center(C),In The Paint (Non-RA),HOU,297,True,False,1,0
Driving Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,Center(C),Restricted Area,HOU,208,True,False,1,0
Running Jump Shot,Jump Shot,9,59,4,0,2000,5,1.0,Center(C),In The Paint (Non-RA),HOU,98,True,False,1,0
Tip Shot,Tip Shot,0,0,4,0,2000,0,0.0,Center(C),Restricted Area,HOU,63,True,False,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,DEN,463,True,False,1,0
Alley Oop Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,DEN,188,True,False,1,0
Jump Shot,Jump Shot,129,-4,1,0,2000,12,1.0,Right Side(R),Mid-Range,DEN,145,True,False,1,0
Jump Shot,Jump Shot,-98,97,1,0,2000,13,1.0,Left Side(L),Mid-Range,DEN,48,True,False,1,0
Jump Shot,Jump Shot,167,78,2,0,2000,18,0.0,Right Side(R),Mid-Range,DEN,676,True,False,1,0
Jump Shot,Jump Shot,108,249,2,0,2000,27,0.0,Right Side Center(RC),Above the Break 3,DEN,619,False,True,1,0
Running Jump Shot,Jump Shot,100,175,2,0,2000,20,1.0,Right Side Center(RC),Mid-Range,DEN,547,True,False,1,0
Layup Shot,Layup,0,0,2,0,2000,0,0.0,Center(C),Restricted Area,DEN,114,True,False,1,0
Driving Layup Shot,Layup,0,0,2,0,2000,0,0.0,Center(C),Restricted Area,DEN,28,True,False,1,0
Jump Shot,Jump Shot,115,169,3,0,2000,20,0.0,Right Side Center(RC),Mid-Range,DEN,623,True,False,1,0
Jump Shot,Jump Shot,1,72,3,0,2000,7,0.0,Center(C),In The Paint (Non-RA),DEN,323,True,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,DEN,37,True,False,1,0
Jump Shot,Jump Shot,113,230,4,0,2000,25,1.0,Right Side Center(RC),Above the Break 3,DEN,703,False,True,1,0
Layup Shot,Layup,0,0,4,0,2000,0,1.0,Center(C),Restricted Area,DEN,628,True,False,1,0
Slam Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,Center(C),Restricted Area,DEN,611,True,False,1,0
Layup Shot,Layup,0,0,4,0,2000,0,0.0,Center(C),Restricted Area,DEN,337,True,False,1,0
Jump Shot,Jump Shot,98,194,1,0,2000,21,1.0,Right Side Center(RC),Mid-Range,SAC,702,True,False,0,0
Jump Shot,Jump Shot,-117,184,1,0,2000,21,0.0,Left Side Center(LC),Mid-Range,SAC,667,True,False,0,0
Jump Shot,Jump Shot,-168,-2,1,0,2000,16,0.0,Left Side(L),Mid-Range,SAC,533,True,False,0,0
Jump Shot,Jump Shot,70,36,1,0,2000,7,0.0,Center(C),In The Paint (Non-RA),SAC,496,True,False,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,SAC,463,True,False,0,0
Jump Shot,Jump Shot,-37,42,1,0,2000,5,1.0,Center(C),In The Paint (Non-RA),SAC,167,True,False,0,0
Jump Shot,Jump Shot,163,116,1,0,2000,20,0.0,Right Side(R),Mid-Range,SAC,65,True,False,0,0
Jump Shot,Jump Shot,113,179,2,0,2000,21,1.0,Right Side Center(RC),Mid-Range,SAC,493,True,False,0,0
Jump Shot,Jump Shot,169,-2,2,0,2000,16,1.0,Right Side(R),Mid-Range,SAC,387,True,False,0,0
Jump Shot,Jump Shot,91,156,2,0,2000,18,0.0,Right Side Center(RC),Mid-Range,SAC,52,True,False,0,0
Jump Shot,Jump Shot,134,93,2,0,2000,16,0.0,Right Side(R),Mid-Range,SAC,19,True,False,0,0
Jump Shot,Jump Shot,47,477,2,0,2000,47,0.0,Back Court(BC),Backcourt,SAC,0,False,True,0,0
Jump Shot,Jump Shot,11,137,3,0,2000,13,0.0,Center(C),In The Paint (Non-RA),SAC,532,True,False,0,0
Jump Shot,Jump Shot,199,13,3,0,2000,19,0.0,Right Side(R),Mid-Range,SAC,175,True,False,0,0
Jump Shot,Jump Shot,77,236,3,0,2000,24,0.0,Right Side Center(RC),Above the Break 3,SAC,1,False,True,0,0
Jump Shot,Jump Shot,11,247,4,0,2000,24,0.0,Center(C),Above the Break 3,SAC,558,False,True,0,0
Jump Shot,Jump Shot,-103,230,4,0,2000,25,0.0,Left Side Center(LC),Above the Break 3,SAC,343,False,True,0,0
Jump Shot,Jump Shot,-31,247,4,0,2000,24,1.0,Center(C),Above the Break 3,SAC,2,False,True,0,0
Jump Shot,Jump Shot,-10,99,5,0,2000,9,1.0,Center(C),In The Paint (Non-RA),SAC,125,True,False,0,0
Jump Shot,Jump Shot,13,100,5,0,2000,10,0.0,Center(C),In The Paint (Non-RA),SAC,127,True,False,0,0
Jump Shot,Jump Shot,-73,200,5,0,2000,21,1.0,Left Side Center(LC),Mid-Range,SAC,24,True,False,0,0
Jump Shot,Jump Shot,-77,184,1,0,2000,19,1.0,Left Side Center(LC),Mid-Range,DEN,605,True,False,0,0
Jump Shot,Jump Shot,188,177,1,0,2000,25,0.0,Right Side Center(RC),Above the Break 3,DEN,547,False,True,0,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,DEN,495,True,False,0,0
Jump Shot,Jump Shot,-128,137,1,0,2000,18,0.0,Left Side Center(LC),Mid-Range,DEN,262,True,False,0,0
Alley Oop Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,DEN,249,True,False,0,0
Jump Shot,Jump Shot,1,93,2,0,2000,9,0.0,Center(C),In The Paint (Non-RA),DEN,679,True,False,0,0
Jump Shot,Jump Shot,115,160,2,0,2000,19,1.0,Right Side Center(RC),Mid-Range,DEN,411,True,False,0,0
Jump Shot,Jump Shot,159,200,2,0,2000,25,1.0,Right Side Center(RC),Above the Break 3,DEN,371,False,True,0,0
Jump Shot,Jump Shot,167,0,2,0,2000,16,0.0,Right Side(R),Mid-Range,DEN,21,True,False,0,0
Jump Shot,Jump Shot,-162,245,3,0,2000,29,0.0,Left Side Center(LC),Above the Break 3,DEN,677,False,True,0,0
Jump Shot,Jump Shot,167,-6,3,0,2000,16,0.0,Right Side(R),Mid-Range,DEN,515,True,False,0,0
Jump Shot,Jump Shot,-4,150,3,0,2000,15,1.0,Center(C),Mid-Range,DEN,384,True,False,0,0
Jump Shot,Jump Shot,-185,9,3,0,2000,18,1.0,Left Side(L),Mid-Range,DEN,301,True,False,0,0
Jump Shot,Jump Shot,237,19,3,0,2000,23,1.0,Right Side(R),Right Corner 3,DEN,201,False,True,0,0
Jump Shot,Jump Shot,-229,19,3,0,2000,22,1.0,Left Side(L),Left Corner 3,DEN,47,False,True,0,0
Driving Layup Shot,Layup,0,0,4,0,2000,0,0.0,Center(C),Restricted Area,DEN,670,True,False,0,0
Reverse Dunk Shot,Dunk,0,0,4,0,2000,0,1.0,Center(C),Restricted Area,DEN,430,True,False,0,0
Jump Shot,Jump Shot,37,82,4,0,2000,8,1.0,Center(C),In The Paint (Non-RA),DEN,78,True,False,0,0
Jump Shot,Jump Shot,-42,87,4,0,2000,9,0.0,Center(C),In The Paint (Non-RA),DEN,46,True,False,0,0
Jump Shot,Jump Shot,28,247,1,0,2000,24,0.0,Center(C),Above the Break 3,CHI,543,False,True,1,0
Jump Shot,Jump Shot,7,97,1,0,2000,9,0.0,Center(C),In The Paint (Non-RA),CHI,370,True,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,CHI,190,True,False,1,0
Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,CHI,13,True,False,1,0
Slam Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,CHI,444,True,False,1,0
Jump Shot,Jump Shot,115,135,2,0,2000,17,0.0,Right Side Center(RC),Mid-Range,CHI,363,True,False,1,0
Jump Shot,Jump Shot,142,184,2,0,2000,23,0.0,Right Side Center(RC),Mid-Range,CHI,44,True,False,1,0
Slam Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,CHI,684,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,CHI,619,True,False,1,0
Jump Shot,Jump Shot,79,163,3,0,2000,18,0.0,Right Side Center(RC),Mid-Range,CHI,585,True,False,1,0
Jump Shot,Jump Shot,142,141,3,0,2000,20,1.0,Right Side Center(RC),Mid-Range,CHI,442,True,False,1,0
Jump Shot,Jump Shot,30,125,3,0,2000,12,0.0,Center(C),In The Paint (Non-RA),CHI,403,True,False,1,0
Running Jump Shot,Jump Shot,-60,97,3,0,2000,11,1.0,Left Side(L),In The Paint (Non-RA),CHI,295,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,0.0,Center(C),Restricted Area,CHI,94,True,False,1,0
Jump Shot,Jump Shot,115,245,4,0,2000,27,0.0,Right Side Center(RC),Above the Break 3,CHI,673,False,True,1,0
Jump Shot,Jump Shot,-132,184,4,0,2000,22,0.0,Left Side Center(LC),Mid-Range,CHI,652,True,False,1,0
Driving Layup Shot,Layup,0,0,4,0,2000,0,0.0,Center(C),Restricted Area,CHI,612,True,False,1,0
Layup Shot,Layup,0,0,4,0,2000,0,0.0,Center(C),Restricted Area,CHI,608,True,False,1,0
Running Jump Shot,Jump Shot,-25,76,4,0,2000,8,1.0,Center(C),In The Paint (Non-RA),CHI,140,True,False,1,0
Jump Shot,Jump Shot,-145,108,4,0,2000,18,0.0,Left Side Center(LC),Mid-Range,CHI,97,True,False,1,0
Jump Shot,Jump Shot,-208,-29,4,0,2000,21,0.0,Left Side(L),Mid-Range,CHI,31,True,False,1,0
Jump Shot,Jump Shot,-105,148,1,0,2000,18,1.0,Left Side Center(LC),Mid-Range,GSW,605,True,False,1,0
Jump Shot,Jump Shot,-48,175,1,0,2000,18,0.0,Center(C),Mid-Range,GSW,480,True,False,1,0
Jump Shot,Jump Shot,-77,247,1,0,2000,25,0.0,Center(C),Above the Break 3,GSW,298,False,True,1,0
Driving Layup Shot,Layup,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,GSW,156,True,False,1,0
Layup Shot,Layup,0,0,1,0,2000,0,0.0,Center(C),Restricted Area,GSW,140,True,False,1,0
Slam Dunk Shot,Dunk,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,GSW,128,True,False,1,0
Jump Shot,Jump Shot,142,226,1,0,2000,26,1.0,Right Side Center(RC),Above the Break 3,GSW,103,False,True,1,0
Alley Oop Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,GSW,617,True,False,1,0
Jump Shot,Jump Shot,-63,171,2,0,2000,18,1.0,Left Side Center(LC),Mid-Range,GSW,556,True,False,1,0
Alley Oop Dunk Shot,Dunk,0,0,2,0,2000,0,1.0,Center(C),Restricted Area,GSW,214,True,False,1,0
Jump Shot,Jump Shot,64,175,2,0,2000,18,1.0,Right Side Center(RC),Mid-Range,GSW,150,True,False,1,0
Driving Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,GSW,592,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,GSW,552,True,False,1,0
Jump Shot,Jump Shot,115,236,3,0,2000,26,1.0,Right Side Center(RC),Above the Break 3,GSW,391,False,True,1,0
Dunk Shot,Dunk,0,0,3,0,2000,0,0.0,Center(C),Restricted Area,GSW,369,True,False,1,0
Turnaround Jump Shot,Jump Shot,163,7,3,0,2000,16,0.0,Right Side(R),Mid-Range,GSW,320,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,0.0,Center(C),Restricted Area,GSW,126,True,False,1,0
Driving Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,GSW,120,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,GSW,86,True,False,1,0
Jump Shot,Jump Shot,64,40,1,0,2000,7,0.0,Center(C),In The Paint (Non-RA),MIN,633,True,False,1,0
Running Jump Shot,Jump Shot,-105,-2,1,0,2000,10,1.0,Left Side(L),Mid-Range,MIN,453,True,False,1,0
Reverse Layup Shot,Layup,0,0,1,0,2000,0,1.0,Center(C),Restricted Area,MIN,352,True,False,1,0
Jump Shot,Jump Shot,64,95,1,0,2000,11,1.0,Right Side(R),In The Paint (Non-RA),MIN,236,True,False,1,0
Jump Shot,Jump Shot,-132,2,1,0,2000,13,1.0,Left Side(L),Mid-Range,MIN,64,True,False,1,0
Jump Shot,Jump Shot,73,17,3,0,2000,7,0.0,Center(C),In The Paint (Non-RA),MIN,653,True,False,1,0
Dunk Shot,Dunk,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,MIN,585,True,False,1,0
Jump Shot,Jump Shot,-132,154,3,0,2000,20,0.0,Left Side Center(LC),Mid-Range,MIN,384,True,False,1,0
Layup Shot,Layup,0,0,3,0,2000,0,1.0,Center(C),Restricted Area,MIN,358,True,False,1,0
Jump Shot,Jump Shot,235,23,3,0,2000,23,0.0,Right Side(R),Right Corner 3,MIN,162,False,True,1,0
Jump Shot,Jump Shot,28,175,3,0,2000,17,1.0,Center(C),Mid-Range,MIN,21,True,False,1,0
Jump Shot,Jump Shot,184,171,4,0,2000,25,1.0,Right Side Center(RC),Above the Break 3,MIN,698,False,True,1,0
Running Jump Shot,Jump Shot,127,61,4,0,2000,14,0.0,Right Side(R),Mid-Range,MIN,590,True,False,1,0
Turnaround Jump Shot,Jump Shot,28,89,4,0,2000,9,1.0,Center(C),In The Paint (Non-RA),MIN,576,True,False,1,0
Jump Shot,Jump Shot,-84,213,4,0,2000,22,1.0,Left Side Center(LC),Mid-Range,MIN,450,True,False,1,0
Running Jump Shot,Jump Shot,-119,144,4,0,2000,18,1.0,Left Side Center(LC),Mid-Range,MIN,324,True,False,1,0
Running Jump Shot,Jump Shot,0,110,1,0,2000,11,0.0,Center(C),In The Paint (Non-RA),LAC,625,True,False,0,0
